id,type,scope,recipeCode,category,displayContext,contentShortJa,contentJa,whyJa,verificationLevel,confidence,appAdoption,sourceVideoId,sourceBasis,timecodeStart,timecodeEnd,notes
P-ALL-001,POINT,global,ALL,共通,setup,器具を温める,ペーパーをリンスし、ドリッパーとサーバーを温めてから抽出します。,抽出液の温度低下を抑え、ペーパー由来のにおいも抜きやすくするため。,primary_transcript_confirmed,high,adoptable,lJNPp-onikk,transcript,00:09:26,00:09:47,
P-ALL-002,POINT,global,ALL,共通,setup,粉で再計量する,豆を挽いたあと、粉の状態でもう一度重さを確認します。,挽いた後に粉量がずれることがあるため、抽出比率を安定させるため。,primary_transcript_confirmed,high,adoptable,lJNPp-onikk,transcript,00:10:44,00:10:55,
P-ALL-003,POINT,global,ALL,共通,setup|timer,量と時間を測る,スケールとタイマーを使い、湯量と時間を記録しながら抽出します。,次回の調整や再現性を高めるため。,researched_summary,medium,adoptable,lJNPp-onikk,summary,,,複数レシピに共通するアプリ運用上のPOINT。
T-ALL-001,TIPS,global,ALL,共通,preview|historyDetail,焙煎度で湯温調整,湯温は焙煎度に合わせて調整します。浅煎りは高め、中深煎りは少し下げると設計しやすくなります。,豆の焙煎度によって成分の出方やガスの出方が変わるため。,primary_transcript_confirmed,high,adoptable,lJNPp-onikk,transcript,00:08:13,00:08:37,
P-406-001,POINT,recipe,406,4:6 Method,timer,落ち切ってから次へ,各投のお湯が落ち切ってから、次の注湯に進みます。,4:6 Methodでは落ち切りを待つことで、粗挽きでも濃度を作りやすくするため。,primary_transcript_confirmed,high,adoptable,lJNPp-onikk,transcript,00:14:20,00:14:59,
P-406-002,POINT,recipe,406,4:6 Method,finish|historyDetail,3分半を目安に,3分半を目安に落ち切るか確認します。長くても4分程度を目安にします。,落ち切り時間から、次回の挽き目調整を考えやすくするため。,primary_transcript_confirmed,high,adoptable,lJNPp-onikk,transcript,00:15:45,00:15:58,
T-406-001,TIPS,recipe,406,4:6 Method,preview|historyDetail,1投目で味を寄せる,1投目を少なめにすると甘み寄り、多めにすると酸味寄りに調整しやすくなります。,前半40%のうち、1投目と2投目の配分で酸味と甘みのバランスを調整するため。,primary_transcript_confirmed,high,adoptable,lJNPp-onikk,transcript,00:12:14,00:12:42,
T-406-002,TIPS,recipe,406,4:6 Method,preview|historyDetail,後半で濃度調整,後半60%は、注ぐ回数を増やすほど濃度を出しやすくなります。,後半60%の分割回数が、濃度調整の役割を持つため。,primary_transcript_confirmed,high,adoptable,lJNPp-onikk,transcript,00:13:18,00:14:09,
T-406-003,TIPS,recipe,406,4:6 Method,historyDetail,好みを探す羅針盤,4:6 Methodは固定の正解ではなく、好みの味を探すための羅針盤として使います。,湯量、温度、挽き目を調整しながら自分の好みを探す考え方が示されているため。,primary_transcript_confirmed,high,adoptable,lJNPp-onikk,transcript,00:23:09,00:24:29,
P-ICE-001,POINT,recipe,ICE,急冷式アイス4:6,setup,氷80gを先に入れる,抽出前に、サーバーへ約80gの氷を入れておきます。,抽出液をサーバー内の氷で急冷するため。,primary_transcript_confirmed,high,adoptable,TfSBzFeoL4s,transcript,00:03:06,00:03:54,
P-ICE-002,POINT,recipe,ICE,急冷式アイス4:6,timer,1・2投目は揺らす,1投目と2投目は、ドリッパーを軽く揺らして粉全体に湯を回します。,細かめの粉全体に湯を行き渡らせ、抽出ムラを抑えるため。,primary_transcript_confirmed,high,adoptable,TfSBzFeoL4s,transcript,00:05:27,00:06:07,
P-ICE-003,POINT,recipe,ICE,急冷式アイス4:6,timer,時間通り注ぐ,抜けが遅く見えても、指定のタイミング通りに注ぎ進めます。,細かめの挽き目で抜けが遅くなっても、注湯リズムを維持するため。,primary_transcript_confirmed,high,adoptable,TfSBzFeoL4s,transcript,00:06:42,00:06:49,
